Code,Gender,Age,Birthplace Latitude,Birthplace Longitude,Birthplace,Living Area Latitude,Living Area Longitude,Living Area,Additional
F144,female,45-49,35.6070629,140.1062653,千葉県千葉市,35.7066318,139.868677,東京都江戸川区,
F145,female,50-54,38.2553393,140.3400205,山形県山形市,35.1851045,136.8998438,名古屋市,
F146,female,30-34,38.2677554,140.8691498,宮城県仙台市,35.1851045,136.8998438,名古屋市,
F147,female,15-19,35.4503381,139.6343802,神奈川県横浜市,35.4503381,139.6343802,神奈川県横浜市,
F148,female,45-49,35.721634,139.9309444,千葉県市川市,35.6070629,140.1062653,千葉市,
F149,female,20,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,名古屋市,
F150,female,10-14,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
F151,female,20-24,35.13059926846884,138.76736029182368,静岡県清水市,35.8565545,139.5490731,埼玉県富士見市,１歳から愛知
F152,female,30-34,,,愛知県名古屋市 静岡県沼津市,35.1851045,136.8998438,名古屋市,１２歳〜３２歳：愛知
F153,female,35-39,34.895858,136.838323,愛知県常滑市,35.304878,136.806915,愛知県一宮市,
F154,female,35-39,35.1851045,136.8998438,愛知県名古屋市,35.240984,137.116187,愛知県瀬戸市,
F155,female,20-24,35.3671141,136.6179746,岐阜県大垣市,35.3671141,136.6179746,岐阜県大垣市,
F156,female,15-19,35.9797101,136.4874356,福井県大野市,35.4230949,136.7627526,岐阜市,
F157,female,75-79,35.3668891,132.7548827,島根県出雲市,35.240484,136.758964,愛知県稲沢市,３７歳から愛知
F158,female,50-54,36.124957,137.952801,長野県塩尻市,35.1851045,136.8998438,名古屋市,２２歳から愛知
F159,female,25-29,35.3995831,136.8485648,岐阜県各務原市,35.3995831,136.8485648,各務原市,
F160,female,25-29,35.9757957,139.752019,埼玉県春日部市,35.9757957,139.752019,埼玉県春日部市,
F161,female,20-24,35.6768601,139.7638947,東京都,35.7080255,139.7523066,東京都文京区,
F162,female,25-29,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,大学時代は京都
M001,male,50-54,,,山梨県北巨摩郡,,,山梨県北巨摩郡,
M002,male,25-29,35.7066318,139.868677,東京都江戸川区,35.1851045,136.8998438,名古屋市,
M003,male,45-49,34.6937569,135.5014539,大阪府大阪市,34.5737364,135.4828866,大阪府堺市,
M004,male,45-49,34.9991645,137.254574,愛知県,35.273804,137.007459,愛知県春日井市,
M005,male,40-44,35.754985,136.964696,岐阜県郡上郡,35.0326867,136.5501538,三重県三重郡,岐阜から愛知。現在三重に居住。
M006,male,20-24,34.8581334,133.7759256,岡山県,35.1851045,136.8998438,名古屋市,１９歳まで岡山
M007,male,25-29,43.5577956,141.9103697,北海道滝川市,43.061936,141.3542924,札幌市,
M008,male,50-54,35.4342935,139.374753,神奈川県,,,愛知県名古屋市近郊,
M009,male,60-64,35.4230949,136.7627526,岐阜県岐阜市,35.4230949,136.7627526,岐阜県岐阜市,
M010,male,20-24,,,和歌山県和歌山市,43.061936,141.3542924,札幌市,
M011,male,25-29,35.1851045,136.8998438,名古屋市,35.1851045,136.8998438,名古屋市,
M012,male,22,37.392045114638954,99.19268337634254,滋賀県滋賀郡,34.7109786,137.7259431,静岡県浜松市,
M013,male,25-29,33.8829996,130.8749015,福岡県北九州市,35.1851045,136.8998438,名古屋市,１９歳から愛知
M014,male,20-24,33.6314485,135.7953071,和歌山県東牟婁郡,43.061936,141.3542924,札幌市,
M015,male,25-29,34.0517226,131.5629141,山口県防府市,35.1851045,136.8998438,名古屋市,
M016,male,40-44,34.6937569,135.5014539,大阪市,34.6937569,135.5014539,大阪市,
M017,male,65-69,35.6768601,139.7638947,東京都,35.7817053,139.6058692,埼玉県和光市,
M018,male,20-24,34.8938136,136.9369523,愛知県半田市,34.8938136,136.9369523,愛知県半田市,
